TOWN,WMU,MALE,FEMALE,TOTAL,HSM,year
BARTLETT,(E),13,3,16,0.22,2023
BATH,(D2W),89,75,164,4.35,2023
BEDFORD,(K/L/M),31,41,72,2.2,2023
BELMONT,(J2),55,24,79,2.63,2023
BENNINGTON,(H2/K),14,2,16,1.43,2023
BENTON,(D2E/D2W),17,7,24,0.49,2023
BERLIN,(C1/C2),8,3,11,0.18,2023
BETHLEHEM,(D1/D2W/E),45,5,50,0.55,2023
BOSCAWEN,(I1),26,5,31,1.26,2023
BOW,(I1/K/L),45,22,67,2.39,2023
BRADFORD,(I2),19,4,23,0.66,2023
BRENTWOOD,(L/M),52,43,95,5.66,2023
BRIDGEWATER,(G2),12,7,19,0.88,2023
BRISTOL,(G2/I1),14,7,21,1.25,2023
BROOKFIELD,(J1/J2),21,6,27,1.18,2023
BROOKLINE,(K/M),32,19,51,2.57,2023
CAMBRIDGE,(B/C2),10,1,11,0.22,2023
CAMPTON,(F),37,3,40,0.77,2023
CANAAN,(G1/G2),64,26,90,1.69,2023
CANDIA,(L/M),58,30,88,2.91,2023
CANTERBURY,(I1/J2),59,22,81,1.85,2023
CARROLL,(D1/E),9,0,9,0.18,2023
CENTER,HARBOR,(J1/J2),17,7,24,1.81,2023
CHARLESTOWN,(H1),50,22,72,2.02,2023
CHATHAM,(E),19,0,19,0.34,2023
CHESTER,(M),46,40,86,3.31,2023
CHESTERFIELD,(H2),55,23,78,1.71,2023
CHICHESTER,(J2/L),36,20,56,2.67,2023
CLAREMONT,(H1),71,27,98,2.29,2023
CLARKSVILLE,(A),34,11,45,0.75,2023
COLEBROOK,(A/B),34,6,40,0.99,2023
COLUMBIA,(B),37,3,40,0.66,2023
CONCORD,(I1/J2/K/L),71,40,111,1.75,2023
CONWAY,(E/F/J1),48,18,66,0.95,2023
CORNISH,(H1),86,30,116,2.77,2023
